,Location,Median House Price,LAD23CD,Median Salary,Housing Affordability Index,Affordability Level
29,Brentwood,475000.0,E07000068,44055.0,10.781977074111905,Expensive
30,Bridgend,205000.0,W06000013,32876.0,6.235551770288356,Affordable
31,Brighton and hove,410000.0,E06000043,36921.0,11.104791311177921,Expensive
32,"Bristol, city of",335000.0,E06000023,39527.0,8.475219470235535,Affordable
33,Broadland,295000.0,E07000144,35813.0,8.237232289950576,Affordable
34,Bromley,490000.0,E09000006,41575.0,11.785929043896573,Expensive
35,Bromsgrove,325000.0,E07000234,32479.0,10.006465716309,Expensive
36,Broxbourne,409500.0,E07000095,37611.0,10.887772194304858,Expensive
37,Broxtowe,244000.0,E07000172,30656.0,7.95929018789144,Affordable
38,Buckinghamshire,437500.0,E06000060,39847.0,10.97949657439707,Expensive
39,Burnley,105000.0,E07000117,30216.0,3.4749801429706118,Very Affordable
40,Bury,225000.0,E08000002,35327.0,6.369066153367113,Affordable
41,Caerphilly,180000.0,W06000018,31659.0,5.6855870368615555,Very Affordable
42,Calderdale,170000.0,E08000033,36647.0,4.638851747755615,Very Affordable
43,Cambridge,495000.0,E07000008,43365.0,11.414735385679696,Expensive
44,Camden,770000.0,E09000007,47882.0,16.08119961572198,Very Expensive
45,Cannock chase,215000.0,E07000192,32424.0,6.630890698248211,Affordable
46,Canterbury,330000.0,E07000106,35607.0,9.267840593141798,Expensive
47,Cardiff,257250.0,W06000015,36199.0,7.1065499046935,Affordable
48,Carmarthenshire,180000.0,W06000010,33310.0,5.403782647853498,Very Affordable
49,Castle point,352000.0,E07000069,37789.0,9.314879991531928,Expensive
50,Central bedfordshire,360000.0,E06000056,35759.0,10.067395620682905,Expensive
51,Ceredigion,235000.0,W06000008,31374.0,7.490278574615924,Affordable
52,Charnwood,260250.0,E07000130,34130.0,7.625256372692646,Affordable
53,Chelmsford,385000.0,E07000070,39207.0,9.819675058025352,Expensive
54,Cheltenham,315500.0,E07000078,39191.0,8.050317674976398,Affordable
55,Cherwell,340000.0,E07000177,37654.0,9.029585170234238,Expensive
56,Cheshire east,275000.0,E06000049,35198.0,7.812943917268027,Affordable
57,Cheshire west and chester,248776.0,E06000050,36851.0,6.7508615777048115,Affordable
58,Chesterfield,181008.0,E07000034,34799.0,5.201528779562631,Very Affordable
59,Chichester,415000.0,E07000225,33151.0,12.518476064070466,Very Expensive
60,Chorley,205000.0,E07000118,35218.0,5.820887046396729,Very Affordable
61,City of london,815000.0,E09000001,64008.0,12.732783402074741,Very Expensive
62,Colchester,310000.0,E07000071,37428.0,8.282569199529764,Affordable
63,Conwy,210000.0,W06000003,30287.0,6.933667910324561,Affordable
64,Cornwall,285000.0,E06000052,31964.0,8.916280815917908,Affordable
65,Cotswold,443499.5,E07000079,31795.0,13.94871835194213,Very Expensive
66,County durham,114500.0,E06000047,31365.0,3.6505659174238803,Very Affordable
67,Coventry,214000.0,E08000026,37523.0,5.703168723183114,Very Affordable
68,Crawley,340000.0,E07000226,42886.0,7.927995149932379,Affordable
69,Croydon,402000.0,E09000008,43337.0,9.27613817292383,Expensive
